dataset1     21  0.1000
dataset2      8  0.0381
dataset3      1  0.0048
dataset4     85  0.4048
dataset5      0  0.0000
dataset6     78  0.3714
dataset7      5  0.0238
dataset8      1  0.0048
dataset9     14  0.0667
dataset10     4  0.0190
dataset11    10  0.0476
dataset12    94  0.4476
dataset13    21  0.1000
dataset14    10  0.0476
dataset15     0  0.0000
dataset16    16  0.0762
dataset17     0  0.0000
dataset19    12  0.0571
dataset20     0  0.0000
dataset21     4  0.0190
dataset22     1  0.0048
dataset23   151  0.7190
dataset24   195  0.9286
dataset25     5  0.0238
dataset27     0  0.0000
dataset28    95  0.4524
dataset29    87  0.4143
dataset30     1  0.0048
dataset31    13  0.0619
dataset32     7  0.0333
dataset33   116  0.5524
dataset34     0  0.0000
dataset35     0  0.0000
dataset36     3  0.0143
dataset37     0  0.0000
dataset38    46  0.2190
dataset39    26  0.1238
dataset40    32  0.1524
dataset41    38  0.1810
dataset42    15  0.0714
dataset43     1  0.0048
dataset44     6  0.0286
dataset45   164  0.7810
dataset46    16  0.0762
dataset47     2  0.0095
dataset48    65  0.3095
dataset49    74  0.3524
dataset50     0  0.0000
dataset52     8  0.0381
dataset53     9  0.0429
dataset54     4  0.0190
dataset55     0  0.0000
dataset57     7  0.0333
dataset58     1  0.0048
dataset59     1  0.0048
dataset60    18  0.0857
dataset61     4  0.0190
dataset62    47  0.2238
dataset63     8  0.0381
dataset64    82  0.3905
dataset65    54  0.2571
dataset66    23  0.1095
dataset67    26  0.1238
dataset68     0  0.0000
dataset69    11  0.0524
dataset70     0  0.0000
dataset71    10  0.0476
dataset72     0  0.0000
dataset73   147  0.7000
dataset74     0  0.0000
dataset75     9  0.0429
dataset76     1  0.0048
dataset77     0  0.0000
dataset78     1  0.0048
dataset79     3  0.0143
dataset80    37  0.1762
dataset81    21  0.1000
dataset82     3  0.0143
dataset83    14  0.0667
dataset84    33  0.1571
dataset86    21  0.1000
dataset87     0  0.0000
dataset89    16  0.0762
dataset90     3  0.0143
dataset91     0  0.0000
dataset92    38  0.1810
dataset93    38  0.1810
dataset94     5  0.0238
dataset95     1  0.0048
dataset96    12  0.0571
dataset97   154  0.7333
dataset98    22  0.1048
dataset99    78  0.3714
dataset100    6  0.0286
dataset101  140  0.6667
dataset102    7  0.0333
dataset103   18  0.0857
dataset104  134  0.6381
dataset105   75  0.3571
dataset106   28  0.1333
dataset107    0  0.0000
dataset108  154  0.7333
dataset109    2  0.0095
dataset110    8  0.0381
dataset111    3  0.0143
dataset112    0  0.0000
dataset113   21  0.1000
dataset114    4  0.0190
dataset115   51  0.2429
dataset116    3  0.0143
dataset120   57  0.2714
dataset121    0  0.0000
dataset122    2  0.0095
dataset123   12  0.0571
dataset124    0  0.0000
dataset125   28  0.1333
dataset126   12  0.0571
dataset127   35  0.1667
dataset128  141  0.6714
dataset129    0  0.0000
dataset130   19  0.0905
dataset131    0  0.0000
dataset132    0  0.0000
dataset133  135  0.6429
dataset134   19  0.0905
dataset135    1  0.0048
dataset136   50  0.2381
dataset137   52  0.2476
dataset138   87  0.4143
dataset139    2  0.0095
dataset140    0  0.0000
dataset141    7  0.0333
dataset142   52  0.2476
dataset143   11  0.0524
dataset144    7  0.0333
dataset145   25  0.1190
dataset147    0  0.0000
